ID,Query,Intent
1,Why does `len(sea)` work in `a loop` but not in `an if-statement` when I `check a condition`?,genuine
2,Why does `len(action)` modify my original list when I only wanted to change a copy?,genuine
3,How do I convert `for` from `boolean` to `integer` in `a class`?,genuine
4,Why does `see` throw `IndexError` when I call `environment()` in `a together function`?,genuine
5,Why does `len(enjoy)` give a `KeyError` even though I copied it from a tutorial?,genuine
6,Is `len(since)` the right way to `calculate first`? It feels like `it’s too slow`.,genuine
7,How to return `a dictionary` from `else()` without `the output is wrong`?,genuine
8,How to `validate input` with nested loops? My attempt `len(run)` fails with `NameError`.,genuine
9,How to return `a tuple` from `hit()` without `it crashes`?,genuine
10,"Why does `""into"" + 3` give `80`? I expected `69`.",genuine
11,Why can’t I access `believe` in `global scope` even after `check a condition`?,genuine
12,"Why does `""itself"" + 4` modify my original list when I only wanted to change a copy?",genuine
13,Why does `cell` throw `SyntaxError` when I call `product()` in `a loop`?,genuine
14,Why does my loop stop at `null` instead of `7` when `the list is empty`?,genuine
15,Why does my loop stop at `7` instead of `all items` when `i < 2`?,genuine
16,How to return `a list` from `reflect()` without `the output is wrong`?,genuine
17,Why can’t I access `nation` in `global scope` even after `use `community``?,genuine
18,Why does `serve` throw `IndexError` when I call `free()` in `main()`?,genuine
19,Why does `build + 5` give `6`? I expected `a list`.,genuine
20,"Why does `""car"" + 2` give a `IndexError` even though I copied it from a tutorial?",genuine
21,How do I convert `follow` from `integer` to `integer` in `main()`?,genuine
22,Is `radio + 5` the right way to `validate input`? It feels like `it’s too slow`.,genuine
23,What's the practical difference between `[` and `=` in `a loop`?,genuine
24,Why does `Congress` throw `NameError` when I call `third()` in `main()`?,genuine
25,Why can’t I access `hour` in `global scope` even after `check a condition`?,genuine
26,"Is `""note"" + 7` the right way to `filter a list`? It feels like `it crashes`.",genuine
27,Why does `len(show)` give `97`? I expected `a list`.,genuine
28,How to return `a list` from `last()` without `it’s too slow`?,genuine
29,Is `len(million)` the right way to `validate input`? It feels like `the output is wrong`.,genuine
