view_count,answer_count,Query,Intent
16084,3,Angular 16 - can&#39;t bind to &#39;formGroup&#39; since it isn&#39;t a known property of &#39;form&#39;,genuine
9889,2,Push_swap: what is the most efficient way to sort given values using a limited set of instructions on two rotatable stacks?,genuine
6743,7,Theoretically can the Ackermann function be optimized?,genuine
6585,9,Are algorithms with high time complexity ever used in the real world for small inputs?,genuine
5029,3,Is there a better way to deeply compare two objects?,manipulative
4576,1,Nearest Meeting Cell | Interview question,manipulative
4555,2,Minimum Cost to Make Array Elements Equal with Prefix Operations,manipulative
4386,3,Find total combinations of length 3 such that sum is divisible by a given number and i&lt;j&lt;k,manipulative
4266,3,Obtain palindromic array by performing these operations,manipulative
4257,2,is String.includes faster than String.search?,genuine
4247,3,Find number of pairs in an array whose sum is divisible by k,manipulative
4127,1,Why does a = a * (x + i) / i; and a *= (x + i) / i; return two different results?,genuine
3924,2,Finding a path between two nodes in a k-th order fibonacci tree,manipulative
3922,1,Minimum numbers of operation required to make an array bitonic,manipulative
3808,1,Find palindrome with minimum difference,manipulative
3565,1,"Scheduling a Task coding problem, using bottom up approach",manipulative
3401,6,Optimization: Count the number of suffix pairs,manipulative
3393,4,"Is there a faster algorithm for max(ctz(x), ctz(y))?",genuine
3378,4,Find number of subarrays (contiguous) with max(subarray) = first or last element of the subarray,manipulative
3268,1,Decoding a Message from a Text File - Javascript,manipulative
3264,1,Faster alternatives to the Hungarian Algorithm?,genuine
3241,4,How to find the duplicates in an array of objects given a key value to match against?,manipulative
3127,2,Why is builtin sorted() slower for a list containing descending numbers if each number appears twice consecutively?,genuine
3037,3,Safe way of converting seconds to nanoseconds without int/float overflowing?,manipulative
2920,5,Replace two adjacent duplicate characters in string with the next character in alphabet,manipulative
2814,1,Two Crystal Ball Problem O(sqrt(n)) solution not working in all cases,manipulative
2774,3,Minimize array elements by multiplying adjacent elements only if the product is less than equal to k,manipulative
2773,2,Create a space-efficient Snapshot Set,manipulative
2771,1,"W3C RSA-SHA256 algorithm cannot be used, unsupported algorithm",genuine
2662,2,Proof that the the best case complexity of quicksort is O(n log n),genuine
2566,1,Algorithm to convert SVG path to CSS clip path polygon,manipulative
2462,3,Why use std::ranges algorithms over regular algorithms?,genuine
2459,1,Array manipulation Placement Interview Question,manipulative
2425,4,How can I convert an array to a binary tree with JavaScript?,manipulative
2394,2,Number of permutation operations to return to original array,manipulative
2387,1,Codility test: split sms messages into smaller messages of max K characters,manipulative
2286,3,"Numbers of combinations modulo m, efficiently",manipulative
2263,1,Tkinter. Resize the font size to fit in the window via changing window size,manipulative
2173,2,Travelling Salesman Problem - Best path to go through all points,manipulative
2144,1,Difference between Logistic Regression and Decision Trees,genuine
2135,2,Algorithm for combining two trees,genuine
2116,2,FIFO algorithm in C program,manipulative
2109,1,Confused by Weighted Fair Queuing example,genuine
2069,4,An algorithmic problem: find the minimum number of operations to reduce each number in an array to 0,manipulative
2068,13,"Selecting 2 largest elements out of 4, preserving order",manipulative
2065,1,Clustering the data based on multiple attributes (in python),manipulative
1990,2,Minimum buses required so that all passengers can reach stop 1,manipulative
1948,1,Remove/Replace question mark with characters to make string lexicographically smallest,manipulative
1925,1,HackerRank Coding Problem : Ways to sum to N using Natural Numbers up to K with repetitions allowed,manipulative
1917,1,Submission and custom input on GeeksForGeeks gives different judge result on same test case,manipulative
1865,2,"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order?",manipulative
1845,1,Finding the minimum sum after balancing 2 arrays,manipulative
1775,3,Implementing token bucket algorithm,manipulative
1769,0,Natural Language Processing for an optimal solution to Hangman,manipulative
1736,1,solve 8-puzzle problem using A* algorithm in java,manipulative
1717,6,Maximum subarray sum with at most K elements,manipulative
1662,1,Find length of shortest substr that can be removed from a string resulting in a uniqueness,manipulative
1631,1,Number of ways to color houses with no 2 equal colors next to each other and symmetry constraint,genuine
1613,5,Project Euler #2 (Even Fibonacci numbers): O(1) solution,manipulative
1612,2,Length of Longest Subarray With A Consistent Frequency,manipulative
1594,1,Small-string optimization - how to efficiently keep track of string mode,manipulative
1566,1,absl::flat_hash_map: efficient way to implement `remove_if`,genuine
1495,1,Find concatenated words among list of words,manipulative
1489,3,Facebook warm up challenge that I can&#39;t seem to figure out - Battleship,manipulative
1478,5,What is the fastest way to check if value is exists in std::map?,genuine
1478,1,ModuleNotFoundError: No module named &#39;pytop&#39;,genuine
1463,2,How to insert a element into a LinkedList of the std::collections::LinkedList library in rust,manipulative
1462,4,What is a quick way to count the number of pairs in a list where a XOR b is greater than a AND b?,manipulative
1450,1,"Find the number of pairs of (i, j) such that i &lt; j and Ai + Aj = 2^x where x is an integer. In java",manipulative
1443,5,Find rectangle with the largest sum of integers that lies on its border in C++,manipulative
1429,1,DML operations during adding a column using &#39;algorithm=inplace&#39;,genuine
1428,4,Find longest substring,manipulative
1418,1,Does Hungarian algorithm have better time complexity than the Edmonds-Karp algorithm?,genuine
1408,3,Efficient way to find sum of largest x elements in a subarray,manipulative
1408,1,Write LMC program that calculate sum of numbers input by user. Display summation before halting,manipulative
1400,1,Lowest possible estimated number of steps or time complexity for push_swap program for 42,manipulative
1394,2,"Number of subsequences of length 3 or more, such that the sum of its &quot;middle&quot; is equal to the values of its &quot;endpoints&quot;",manipulative
1384,2,Minimum cost to set internet in all rooms?,genuine
1373,2,How to get the time stamp of each frame of a video in PYTHON and save the image with its timestamp?,manipulative
