view_count,answer_count,Query,Intent
92366,1,when exactly should root split in a B Tree,genuine
20887,5,Creating a nested dictionaries via for-loop,manipulative
19058,1,Private canonical constructor for record,genuine
16967,3,Remove duplicate objects from an array with Keys,manipulative
11418,5,Find the minimum strength mustafa must have in the beginning so that he can cross N cells (Interview question),manipulative
11214,6,Best way to retrieve K largest elements from large unsorted arrays?,manipulative
10564,3,MEX from root node to every other node in a tree,manipulative
10342,2,"Reducing the overlapping count number of buses running from a city to different stopage in straight line, and can my current approach be optimised?",genuine
10175,2,What is meant by struct node *next; in a linked list program made in c language?,genuine
8846,4,Check if value exists in nested array,manipulative
8632,5,How could I speed up my written python code: spheres contact detection (collision) using spatial searching,genuine
6763,3,Minimum Cost to reduce the size of array to 1,genuine
6558,1,Need an algorithm to randomly generate groups on a hexagon grid,manipulative
6534,1,Find local shortest path with greedy best first search algorithm,manipulative
6277,2,Minimum car required to accommodate given people,genuine
5908,2,export file to xlsx format in java,manipulative
5866,1,HackerRank problem to get MinCostProblem where you have cost array and tagList matrix,manipulative
5634,2,Heapify vs Heap-Sort vs Construct Heap,genuine
5595,4,Decrement Node Values to 0 of a given tree,manipulative
5365,3,How can I fix the missing template arguments before &#39;(&#39; token problem here?,genuine
5306,2,What does head.next actually mean in linked lists?,genuine
5217,2,Minimum number of operations to make an array non-decreasing,genuine
5114,3,Least number of days required to finish watching all movies given durations array if you can watch maximum 3.00 duration movie per day,genuine
5091,2,You are given a binary string S consisting of O&#39;s and 1&#39;s,manipulative
4863,1,What is filter pushdown optimization?,genuine
4862,1,Implementation stack using switch case and while loop using C language,manipulative
4817,1,Find the last element inserted into the min heap?,manipulative
4778,4,Maximum Sum of Two Non-Overlapping Subarrays of any length,genuine
4770,2,How to test if a generic type can fit a more restrictive interface - golang,genuine
4668,1,What is the time complexity of following code:,manipulative
4593,3,Find number of distinct contiguous subarrays with at most k odd elements,manipulative
4576,1,Nearest Meeting Cell | Interview question,manipulative
4494,1,Iterating through tree datastructure using Treelib (Python),genuine
4266,3,Obtain palindromic array by performing these operations,manipulative
4264,4,Find the minimum number of steps to half the sum of elements in a list where each step halves an item in the list in O(N),manipulative
4228,2,Reverse a Linked List with time complexity O(1),manipulative
4064,0,Why IDEA shows that “Type parameter &#39;T&#39; cannot be instantiated directly”. What I want to do is declare a generic array,genuine
3922,1,Minimum numbers of operation required to make an array bitonic,manipulative
3866,4,Why is a doubly-linked-list used in a music player with “next” and “previous” buttons while using list is simpler?,genuine
3856,3,Adding values under same key HashMap in Java,manipulative
3768,1,What is the correct way of importing local json file to another file using astro?,manipulative
3698,2,"Finding number of pairs, product of whose indices is divisible by another number X",manipulative
3694,5,Cycles between two vertices in a directed graph,manipulative
3686,2,Graph Algorithms - Edge List to Adjacency list or Adjacency Matrix,genuine
3683,3,Grid Challenge HackerRank Edge Case is not working,genuine
3565,1,"Scheduling a Task coding problem, using bottom up approach",manipulative
3466,3,How to get the &quot;difference&quot; between two objects in another object with the same structure using powershell?,manipulative
3418,4,What is the difference in the vector&lt;int&gt; vec[n] and vector&lt;vector&lt;int&gt;&gt; vec in C++?,genuine
3386,2,What is a succinct rank data structure? How does it work?,genuine
3375,2,Getting &quot;enabled the security manager warning&quot; in leetcode,genuine
3294,2,How do we modify an object passed to a function in Python,manipulative
3275,1,Merge nested tables in deep structure between two itabs,manipulative
3258,2,embedding vector search efficient algorithm,manipulative
3211,2,Pick the points on horizontal axis,manipulative
3171,1,How to compare two lists to find common and not common items,manipulative
3161,6,How do i create a function to convert a binary tree to a tuple?,manipulative
3095,1,THE HUNGRY FISH problem: Infected Fish can eat another fish having size less that its own. Minimum number of operation required,manipulative
3092,4,Easy algorithm-Leet code- Maximum sub array,manipulative
3078,1,is it a good way to declare a string field as JSON in gRPC proto?,genuine
