view_count,score,Query,Intent
128,-1,Classes and inheritance in C++,manipulative
60,-1,how to import the org.json library?,genuine
132,-4,From string to atribute name. Internal working,manipulative
119,5,How can I generalize a unit conversion method for different Enums in Java?,manipulative
127,2,"Ruby class level variable, private setter and initialize",manipulative
105,-7,Using &#39;.&#39; operator in a C++ constructor,manipulative
32,0,"I&#39;m trying to group these shapes in CMU CS Academy, but I&#39;m having trouble",genuine
69,0,How a class can have an attribute that can contain any enum? and map this class with JPA,genuine
48,2,"In dart/flutter, what&#39;s the best way for a wrapper to have the same default values for (some of) its parameters as its child?",genuine
79,2,How is a Kotlin getter/setter tied to correct attribute within a class? What makes the connection?,manipulative
633,16,Why does R behave differently for auto-printed objects?,genuine
102,0,Does the compiler generate the move operations (not default) in case of a default destructor?,genuine
94,0,Is it possible to create an equals override for an untyped class and it&#39;s typed counterpart?,manipulative
61,0,Python Multiprocessing Pool Queue Works in Functional Code but not in OOP,manipulative
74,1,How to properly reuse heavy calculations performed in the Parent class within the Child class?,manipulative
85,0,How to dispose IDisposable child when disposing parent,manipulative
53,2,Exiting Fullscreen of video leads to status bar hidden issue i am using chewie controller and video controller,genuine
123,1,How to properly implement instantiation of an abstract class based on parameters,manipulative
35,0,Accessing attribute of a class,genuine
50,0,Different number of __init__ calls for almost the same __new__ implementation,manipulative
87,1,Procedure Overloading with an allocatable variable as parameter in fortran,genuine
68,2,How Does Copy Assignment Handle R-Values When Move Is Deleted?,genuine
51,0,Default of an argument in two different spots,manipulative
173,4,Why is having ambiguous (default) constructor due to overloading not an error or at least a warning?,genuine
31,0,Variables created through parent&#39;s won&#39;t be on child class,genuine
105,1,Is there a Java construct that allows to operate on an object and then return it (like Kotlin `also` or `apply`)?,manipulative
53,-2,Class instantiation in python multiple inheritance and passing arguments,manipulative
105,2,What is the good practice to add many similar methods to a class in Python?,manipulative
68,0,How do I type a generic subclass correctly?,manipulative
87,2,I don&#39;t know how to get generic objects back from sql using boost c++,manipulative
39,1,How to overpass test case on exercise in MOOC.fi?,manipulative
74,1,"Common Lisp: Why does `WITH-SLOTS` allow shorthand names, but `WITH-ACCESSORS` doesn&#39;t?",genuine
100,0,Different property types in derived classes,manipulative
22,1,Trying to access a void of a script gives a null error,manipulative
51,2,Segmentation Fault in VM management C++ program,manipulative
101,3,Immutability and side effects with dataflow TransformBlocks,genuine
74,-1,What is the programming construct in Python of passing some arguments in front of a constructor call? How to interpret parameters passed to an object?,manipulative
79,1,How to do an early return of a child in the parent class in OOP,manipulative
40,0,lua: attempt to call field &#39;run&#39; (a table value),manipulative
79,0,Is there a way to get Java to recognize a higher order interface when a lower order is initialized?,manipulative
121,-1,Class level instantiation vs constructor or init block,manipulative
85,2,std::enable_if for partial specialization,manipulative
51,0,How to have a &quot;childlike&quot; class instance method trigger when a &quot;parentlike&quot; instance attribute is updated?,manipulative
95,0,How to replace a class with a custom class in php?,manipulative
122,2,Why doesn&#39;t std::unique_ptr allow polymorphic conversion for reference-type deleters?,manipulative
112,2,"C++ CRTP pattern, constructor definitions",manipulative
15,0,How can I reference private properties in TypeORM relationship decorators while keeping encapsulation?,genuine
62,-2,"In Python, how can I find the class in which a method is defined?",manipulative
92,0,OOAD Head First --Encapsulation,genuine
266,4,What are Borland C++ virtual constructors?,genuine
59,0,How to make a generic Delete function for different business objects in C#,manipulative
96,-1,Simple PHP Class Autoloader for a WordPress plugin without using Composer,manipulative
93,1,Casting a container of Derived to container of Base,manipulative
75,1,How can I implement Interface for Node class,manipulative
111,-1,C++: What pattern to avoid dynamic_cast of elements of vector&lt;unique_ptr&lt;BaseClass&gt;&gt; to call the appropriate handler with separation of concerns?,manipulative
46,1,Are static arrays already in the script,genuine
78,-1,How to inherit values from a parent class without specifying the attributes in a child class,genuine
55,1,Prevent calling of an abstract method from the child class which implement it,manipulative
